2025-02-27 20:18:37 status half-installed libfido2-1:amd64 1.14.0-1build3
2025-02-27 20:18:37 status unpacked libfido2-1:amd64 1.14.0-1build3
2025-02-27 20:18:37 install libnghttp2-14:amd64 <none> 1.59.0-1ubuntu0.2
2025-02-27 20:18:37 status half-installed libnghttp2-14:amd64 1.59.0-1ubuntu0.2
2025-02-27 20:18:37 status unpacked libnghttp2-14:amd64 1.59.0-1ubuntu0.2
2025-02-27 20:18:37 install libpsl5t64:amd64 <none> 0.21.2-1.1build1
2025-02-27 20:18:37 status half-installed libpsl5t64:amd64 0.21.2-1.1build1
2025-02-27 20:18:37 status unpacked libpsl5t64:amd64 0.21.2-1.1build1
2025-02-27 20:18:37 install libxau6:amd64 <none> 1:1.0.9-1build6
2025-02-27 20:18:37 status half-installed libxau6:amd64 1:1.0.9-1build6
2025-02-27 20:18:37 status unpacked libxau6:amd64 1:1.0.9-1build6
2025-02-27 20:18:38 install libxdmcp6:amd64 <none> 1:1.1.3-0ubuntu6
2025-02-27 20:18:38 status half-installed libxdmcp6:amd64 1:1.1.3-0ubuntu6
2025-02-27 20:18:38 status unpacked libxdmcp6:amd64 1:1.1.3-0ubuntu6
2025-02-27 20:18:38 install libxcb1:amd64 <none> 1.15-1ubuntu2
2025-02-27 20:18:38 status half-installed libxcb1:amd64 1.15-1ubuntu2
2025-02-27 20:18:38 status unpacked libxcb1:amd64 1.15-1ubuntu2
2025-02-27 20:18:38 install libx11-data:all <none> 2:1.8.7-1build1
2025-02-27 20:18:38 status half-installed libx11-data:all 2:1.8.7-1build1
2025-02-27 20:18:38 status unpacked libx11-data:all 2:1.8.7-1build1
2025-02-27 20:18:38 install libx11-6:amd64 <none> 2:1.8.7-1build1
2025-02-27 20:18:38 status half-installed libx11-6:amd64 2:1.8.7-1build1
2025-02-27 20:18:38 status unpacked libx11-6:amd64 2:1.8.7-1build1
2025-02-27 20:18:38 install libxext6:amd64 <none> 2:1.3.4-1build2
2025-02-27 20:18:38 status half-installed libxext6:amd64 2:1.3.4-1build2
2025-02-27 20:18:38 status unpacked libxext6:amd64 2:1.3.4-1build2
2025-02-27 20:18:38 install libxmuu1:amd64 <none> 2:1.1.3-3build2
2025-02-27 20:18:38 status half-installed libxmuu1:amd64 2:1.1.3-3build2
2025-02-27 20:18:38 status unpacked libxmuu1:amd64 2:1.1.3-3build2
2025-02-27 20:18:38 install nano:amd64 <none> 7.2-2ubuntu0.1
2025-02-27 20:18:38 status half-installed nano:amd64 7.2-2ubuntu0.1
2025-02-27 20:18:38 status unpacked nano:amd64 7.2-2ubuntu0.1
2025-02-27 20:18:38 install openssh-client:amd64 <none> 1:9.6p1-3ubuntu13.8
2025-02-27 20:18:38 status half-installed openssh-client:amd64 1:9.6p1-3ubuntu13.8
2025-02-27 20:18:38 status unpacked openssh-client:amd64 1:9.6p1-3ubuntu13.8
2025-02-27 20:18:38 install publicsuffix:all <none> 20231001.0357-0.1
2025-02-27 20:18:38 status half-installed publicsuffix:all 20231001.0357-0.1
2025-02-27 20:18:38 status unpacked publicsuffix:all 20231001.0357-0.1
2025-02-27 20:18:38 install wget:amd64 <none> 1.21.4-1ubuntu4.1
