2025-04-11 01:50:54 install curl:amd64 <none> 8.5.0-2ubuntu10.6
2025-04-11 01:50:54 status half-installed curl:amd64 8.5.0-2ubuntu10.6
2025-04-11 01:50:54 status unpacked curl:amd64 8.5.0-2ubuntu10.6
2025-04-11 01:50:54 install libcurl3t64-gnutls:amd64 <none> 8.5.0-2ubuntu10.6
2025-04-11 01:50:54 status half-installed libcurl3t64-gnutls:amd64 8.5.0-2ubuntu10.6
2025-04-11 01:50:54 status unpacked libcurl3t64-gnutls:amd64 8.5.0-2ubuntu10.6
2025-04-11 01:50:54 install liberror-perl:all <none> 0.17029-2
2025-04-11 01:50:54 status half-installed liberror-perl:all 0.17029-2
2025-04-11 01:50:54 status unpacked liberror-perl:all 0.17029-2
2025-04-11 01:50:54 install git-man:all <none> 1:2.43.0-1ubuntu7.2
2025-04-11 01:50:54 status half-installed git-man:all 1:2.43.0-1ubuntu7.2
2025-04-11 01:50:54 status unpacked git-man:all 1:2.43.0-1ubuntu7.2
2025-04-11 01:50:54 install git:amd64 <none> 1:2.43.0-1ubuntu7.2
2025-04-11 01:50:54 status half-installed git:amd64 1:2.43.0-1ubuntu7.2
2025-04-11 01:50:54 status unpacked git:amd64 1:2.43.0-1ubuntu7.2
2025-04-11 01:50:54 install libldap-common:all <none> 2.6.7+dfsg-1~exp1ubuntu8.2
2025-04-11 01:50:54 status half-installed libldap-common:all 2.6.7+dfsg-1~exp1ubuntu8.2
2025-04-11 01:50:54 status unpacked libldap-common:all 2.6.7+dfsg-1~exp1ubuntu8.2
2025-04-11 01:50:54 install libsasl2-modules:amd64 <none> 2.1.28+dfsg1-5ubuntu3.1
2025-04-11 01:50:54 status half-installed libsasl2-modules:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-04-11 01:50:54 status unpacked libsasl2-modules:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-04-11 01:50:54 install net-tools:amd64 <none> 2.10-0.1ubuntu4
2025-04-11 01:50:54 status half-installed net-tools:amd64 2.10-0.1ubuntu4
2025-04-11 01:50:54 status unpacked net-tools:amd64 2.10-0.1ubuntu4
2025-04-11 01:50:54 install patch:amd64 <none> 2.7.6-7build3
2025-04-11 01:50:54 status half-installed patch:amd64 2.7.6-7build3
2025-04-11 01:50:54 status unpacked patch:amd64 2.7.6-7build3
